业务日期,产品代码,产品名称,产品分组,资产类别,单元编号,单元名称,组合编号,组合名称,投资类型,交易市场,证券代码,证券名称,证券类别,上市板块,本币持仓市值/产品净资产(%),本币持仓市值/单元净资产(%),本币持仓市值/组合总市值(%),合同代码,合同名称,合同类别,停牌标志,长期停牌,结算币种,本币币种,最新价(元),当前数量(股/张/份/手),当日买量(股/张/份/手),当日卖量(股/张/份/手),净买量(股/张/份/手),当日买金额(元),当日卖金额(元),当日净买入金额(元),成本单价(元),当前成本(元),浮动盈亏(元),浮动盈亏率(%),当日盈亏(元),当日盈亏率(%),总体盈亏(元),总体盈亏率(%),累计盈亏(元),累计盈亏率(%),本币持仓市值(元),多空标志,持仓席位,股东代码,自定义分类,到期日,柜台债开办机构号,托管机构(二级),销售机构,所属证券池,当前成本含费(元),当前成本不含费(元),成本单价含费(元),成本单价不含费(元)
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180101,博时蛇口产园REIT,REITs基金,--,="0.799900",="0.805900",="0.906300",	--,	--,--,正常交易,否,人民币,人民币,="1.9770",="1，877，466.00",="51，552.00",="0.00",="51，552.00",="101，695.27",="0.00",="101，695.27",="1.95",="3，665，784.59",="45，965.69",="1.25",="0.00",="0.00",="70，282.44",="1.92",="24，316.75",="0.66",="3，711，750.28",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="3，665，784.59",="3，665，784.59",="1.95",="1.95"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180102,华夏合肥高新REIT,REITs基金,--,="0.791700",="0.797600",="0.897100",	--,	--,--,正常交易,否,人民币,人民币,="1.5900",="2，310，635.00",="52，500.00",="0.00",="52，500.00",="83，504.40",="0.00",="83，504.40",="1.66",="3，827，846.50",="-153，936.85",="-4.02",="0.00",="0.00",="-211，485.08",="-5.52",="-57，548.23",="-1.50",="3，673，909.65",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="3，827，846.50",="3，827，846.50",="1.66",="1.66"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180103,华夏和达高科REIT,REITs基金,--,="0.319100",="0.321500",="0.361600",	--,	--,--,正常交易,否,人民币,人民币,="2.1880",="676，777.00",="10，500.00",="0.00",="10，500.00",="22，964.70",="0.00",="22，964.70",="2.23",="1，508，762.71",="-27，974.63",="-1.85",="0.00",="0.00",="-137，189.29",="-9.09",="-109，214.66",="-7.24",="1，480，788.08",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="1，508，762.71",="1，508，762.71",="2.23",="2.23"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180105,易方达广开产园REIT,REITs基金,--,="0.478000",="0.481600",="0.541700",	--,	--,--,正常交易,否,人民币,人民币,="1.7400",="1，274，900.00",="48，300.00",="0.00",="48，300.00",="84，116.80",="0.00",="84，116.80",="1.95",="2，482，132.39",="-263，806.39",="-10.63",="0.00",="0.00",="-387，484.44",="-15.61",="-123，678.05",="-4.98",="2，218，326.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="2，482，132.39",="2，482，132.39",="1.95",="1.95"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180106,广发成都高投产业园REIT,REITs基金,--,="1.274900",="1.284500",="1.444700",	--,	--,--,正常交易,否,人民币,人民币,="3.4460",="1，716，865.00",="37，100.00",="0.00",="37，100.00",="127，834.80",="0.00",="127，834.80",="3.51",="6，024，514.92",="-108，198.13",="-1.80",="0.00",="0.00",="-123，301.16",="-2.05",="-15，103.03",="-0.25",="5，916，316.79",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="6，024，514.92",="6，024，514.92",="3.51",="3.51"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180201,平安广州广河REIT,REITs基金,--,="0.857400",="0.863800",="0.971500",	--,	--,--,正常交易,否,人民币,人民币,="8.1200",="489，993.00",="26，124.00",="0.00",="26，124.00",="211，730.47",="0.00",="211，730.47",="8.53",="4，178，442.65",="-199，699.49",="-4.78",="0.00",="0.00",="-277，139.45",="-6.63",="-77，439.96",="-1.85",="3，978，743.16",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="4，178，442.65",="4，178，442.65",="8.53",="8.53"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180202,华夏越秀高速REIT,REITs基金,--,="0.538000",="0.542000",="0.609600",	--,	--,--,正常交易,否,人民币,人民币,="5.3270",="468，641.00",="28，552.00",="0.00",="28，552.00",="151，933.05",="0.00",="151，933.05",="5.70",="2，672，870.75",="-176，420.14",="-6.60",="0.00",="0.00",="-207，866.47",="-7.78",="-31，446.33",="-1.18",="2，496，450.61",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="2，672，870.75",="2，672，870.75",="5.70",="5.70"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180203,招商高速公路REIT,REITs基金,--,="1.615000",="1.627000",="1.830000",	--,	--,--,正常交易,否,人民币,人民币,="7.2420",="1，034，822.00",="62，800.00",="0.00",="62，800.00",="454，534.20",="0.00",="454，534.20",="6.93",="7，171，166.14",="323，014.78",="4.50",="0.00",="0.00",="298，935.36",="4.17",="-24，079.42",="-0.34",="7，494，180.92",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="7，171，166.14",="7，171，166.14",="6.93",="6.93"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180301,红土创新盐田港REIT,REITs基金,--,="0.929000",="0.935900",="1.052600",	--,	--,--,正常交易,否,人民币,人民币,="2.4290",="1，774，743.00",="75，956.00",="0.00",="75，956.00",="184，283.99",="0.00",="184，283.99",="2.36",="4，185，415.86",="125，434.89",="3.00",="0.00",="0.00",="248，324.59",="5.93",="122，889.70",="2.94",="4，310，850.75",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="4，185，415.86",="4，185，415.86",="2.36",="2.36"
2026/03/05,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180302,华夏深国际REIT,REITs基金,--,="0.461300",="0.464700",="0.522700",	--,	--,--,正常交易,否,人民币,人民币,="2.9590",="723，383.00",="36，300.00",="0.00",="36，300.00",="107，906.50",="0.00",="107，906.50",="3.03",="2，195，353.98",="-54，863.68",="-2.50",="0.00",="0.00",="-312，686.06",="-14.24",="-257，822.38",="-11.74",="2，140，490.30",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="2，195，353.98",="2，195，353.98",="3.03",="3.03"
