业务日期,产品代码,产品名称,产品分组,资产类别,单元编号,单元名称,组合编号,组合名称,投资类型,交易市场,证券代码,证券名称,证券类别,上市板块,本币持仓市值/产品净资产(%),本币持仓市值/单元净资产(%),本币持仓市值/组合总市值(%),合同代码,合同名称,合同类别,停牌标志,长期停牌,结算币种,本币币种,最新价(元),当前数量(股/张/份/手),当日买量(股/张/份/手),当日卖量(股/张/份/手),净买量(股/张/份/手),当日买金额(元),当日卖金额(元),当日净买入金额(元),成本单价(元),当前成本(元),浮动盈亏(元),浮动盈亏率(%),当日盈亏(元),当日盈亏率(%),总体盈亏(元),总体盈亏率(%),累计盈亏(元),累计盈亏率(%),本币持仓市值(元),多空标志,持仓席位,股东代码,自定义分类,到期日,柜台债开办机构号,托管机构(二级),销售机构,所属证券池,当前成本含费(元),当前成本不含费(元),成本单价含费(元),成本单价不含费(元)
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180303,华泰宝湾物流REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，153，500.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.07",="4，689，520.20",="0.00",="0.00",="0.00",="0.00",="-3，714.15",="-0.08",="-3，714.15",="-0.08",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180305,南方顺丰物流REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，401，196.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.02",="5，638，077.39",="0.00",="0.00",="0.00",="0.00",="82，235.15",="1.46",="82，235.15",="1.46",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180401,鹏华深圳能源REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="267，500.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="6.16",="1，646，730.00",="0.00",="0.00",="0.00",="0.00",="-7，634.81",="-0.46",="-7，634.81",="-0.46",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180402,工银蒙能清洁能源REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="389，409.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="7.33",="2，853，928.29",="0.00",="0.00",="0.00",="0.00",="-33，417.81",="-1.17",="-33，417.81",="-1.17",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180501,红土创新深圳安居REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，891，681.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.54",="6，690，189.31",="0.00",="0.00",="0.00",="0.00",="6，280.41",="0.09",="6，280.41",="0.09",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180502,招商基金蛇口租赁住房REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="3，381，931.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.49",="11，788，783.41",="0.00",="0.00",="0.00",="0.00",="452，093.15",="3.83",="452，093.15",="3.83",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180601,华夏华润商业REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="707，600.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="10.12",="7，158，323.83",="0.00",="0.00",="0.00",="0.00",="15，171.17",="0.21",="15，171.17",="0.21",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180602,中金印力消费REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，614，800.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.38",="7，073，720.40",="0.00",="0.00",="0.00",="0.00",="-28，478.71",="-0.40",="-28，478.71",="-0.40",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180603,华夏大悦城商业REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="989，200.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.80",="4，750，847.37",="0.00",="0.00",="0.00",="0.00",="-137.83",="0.00",="-137.83",="0.00",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180605,易方达华威市场REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="454，422.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="5.21",="2，365，936.41",="0.00",="0.00",="0.00",="0.00",="-27，872.74",="-1.18",="-27，872.74",="-1.18",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180606,中金中国绿发商业REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="560，919.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.05",="2，273，376.79",="0.00",="0.00",="0.00",="0.00",="5，426.60",="0.24",="5，426.60",="0.24",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180607,华夏中海商业REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="151，863.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="5.50",="835，819.18",="0.00",="0.00",="0.00",="0.00",="1，320.47",="0.16",="1，320.47",="0.16",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180701,银华绍兴原水水利REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，496，815.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.19",="6，269，788.90",="0.00",="0.00",="0.00",="0.00",="21，453.49",="0.34",="21，453.49",="0.34",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180801,中航首钢绿能REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="467，912.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="12.14",="5，679，368.31",="0.00",="0.00",="0.00",="0.00",="74，289.79",="1.31",="74，289.79",="1.31",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180901,南方润泽科技数据中心REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，806，147.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="6.37",="11，507，371.97",="0.00",="0.00",="0.00",="0.00",="-20，549.34",="-0.18",="-20，549.34",="-0.18",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508000,张江REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="100，528.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.81",="282，182.10",="0.00",="0.00",="0.00",="0.00",="-65，993.66",="-23.39",="-65，993.66",="-23.39",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508001,浙江杭徽,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="531，605.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="6.93",="3，683，776.13",="0.00",="0.00",="0.00",="0.00",="-44，455.57",="-1.21",="-44，455.57",="-1.21",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508002,百联消费,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，833，300.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.99",="5，476，616.92",="0.00",="0.00",="0.00",="0.00",="-11，099.98",="-0.20",="-11，099.98",="-0.20",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508003,中金联东,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="2，353，900.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.84",="9，036，342.84",="0.00",="0.00",="0.00",="0.00",="62，192.36",="0.69",="62，192.36",="0.69",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508005,首创奥莱,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="680，388.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.04",="2，747，309.18",="0.00",="0.00",="0.00",="0.00",="-8，845.78",="-0.32",="-8，845.78",="-0.32",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508006,首创水务,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，590，955.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.78",="6，006，884.63",="0.00",="0.00",="0.00",="0.00",="23，401.45",="0.39",="23，401.45",="0.39",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508007,山东高速,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="542，982.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="7.50",="4，074，321.36",="0.00",="0.00",="0.00",="0.00",="-71，450.57",="-1.75",="-71，450.57",="-1.75",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
