业务日期,成交时间,股东代码,产品代码,产品名称,单元编号,单元名称,组合编号,组合名称,资产类别,证券类别,投资类型,交易市场,证券代码,证券名称,交易席位,委托序号,委托方向,是否备兑,委托价格类型,指令序号,成交编号,成交价格(元/%),全价价格,中债到期估值价偏离率(%),中债行权估值价偏离率(%),成交数量(股/张/份/手),成交金额,到期收益率(%),行权收益率(%),中债公允价(元),中债公允价偏离率(%),中证公允价(元),中证公允价偏离率(%),中证到期估值价偏离率(%),中证行权估值价偏离率(%),执行人,交易币种,指令下达人,过户费,交割费,经手费,财汇局交易征费,交易费,印花税,佣金,证管费,结算费,结算风险金(元),其他费用,总费用(元),交易分类,交易对手,交易对手全称,全价成交金额,结算日期,应计利息(元),应计利息总额(元),指令备注,结算金额,是否含权,投资人行权日期,清算速度,指令下达日期,指令委托日期,交易解除状态,竞买成交方式,竞买日期,价格下限,价格上限,最低成交数量,竞买场次,手续费方式,费率(%),手续费(元),费用结算日期
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180502,招商基金蛇口租赁住房REIT,="005100",混合,买入,	--,限价,2801362,混合,="3.5795",--,	--,	--,="80，300.00",="287，431.30",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="287，431.30",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180601,华夏华润商业REIT,="005100",混合,买入,	--,限价,2801363,混合,="9.8879",--,	--,	--,="23，700.00",="234，343.00",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="234，343.00",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180603,华夏大悦城商业REIT,="005100",混合,买入,	--,限价,2801364,混合,="4.6293",--,	--,	--,="40，400.00",="187，022.50",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="187，022.50",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180605,易方达华威市场REIT,="005100",混合,买入,	--,限价,2801365,混合,="4.7771",--,	--,	--,="28，200.00",="134，715.00",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="134，715.00",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180606,中金中国绿发商业REIT,="005100",混合,买入,	--,限价,2801366,混合,="4.1638",--,	--,	--,="17，600.00",="73，282.71",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="73，282.71",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180607,华夏中海商业REIT,="005100",混合,买入,	--,限价,2801367,混合,="5.5710",--,	--,	--,="10，512.00",="58，562.30",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="58，562.30",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180901,南方润泽科技数据中心REIT,="005100",混合,买入,	--,限价,2801368,混合,="6.4365",--,	--,	--,="68，700.00",="442，187.70",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="442，187.70",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508001,浙江杭徽,61082,混合,买入,	--,限价,2801369,混合,="5.6788",--,	--,	--,="12，500.00",="70，985.30",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="70，985.30",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508002,百联消费,61082,混合,买入,	--,限价,2801370,混合,="3.0298",--,	--,	--,="67，800.00",="205，417.10",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="205，417.10",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508005,首创奥莱,61082,混合,买入,	--,限价,2801371,混合,="4.0230",--,	--,	--,="30，365.00",="122，158.84",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="122，158.84",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
