date,reits_index,tb10y,hs300,csi_dividend,nav,reits_index_norm,nav_norm
2021-12-10,1104.0186,2.87,5055.1172,5118.5648,,1.0932611291414738,
2021-12-13,1111.7089,2.885,5083.8007,5117.0872,,1.100876495459973,
2021-12-14,1124.2001,2.871,5049.6953,5064.5912,,1.113245982184501,
2021-12-15,1140.8975,2.85,5005.8991,5087.3927,,1.1297806840253277,
2021-12-16,1117.2716,2.8575,5034.7321,5162.8637,,1.106384992946406,
2021-12-17,1116.2228,2.851,4954.7599,5129.7383,,1.1053464123715464,
2021-12-20,1109.1249,2.85,4880.4178,5084.1384,,1.0983176737537974,
2021-12-21,1108.6735,2.85,4913.4853,5186.4851,,1.0978706721600795,
2021-12-22,1114.4346,2.828,4914.4544,5166.8515,,1.1035756364524354,
2021-12-23,1123.3457,2.815,4948.7389,5186.9166,,1.1123999073912516,
2021-12-24,1124.8453,2.8225,4921.3449,5156.0637,,1.1138848954061822,
2021-12-27,1131.8563,2.8125,4919.3238,5186.5718,,1.1208275807707322,
2021-12-28,1129.5996,2.7975,4955.9644,5160.6195,,1.1185928698789651,
2021-12-29,1122.0775,2.7825,4883.4804,5145.0328,,1.1111440646328261,
2021-12-30,1112.9946,2.77,4921.5109,5158.3534,,1.1021496676997677,
2021-12-31,1114.2438,2.7775,4940.3733,5209.9023,,1.103386695592707,
2022-01-04,1121.2703,2.7875,4917.7653,5272.7556,,1.1103447299264695,
2022-01-05,1127.0191,2.805,4868.1202,5258.0069,,1.1160375140690633,
2022-01-06,1126.6855,2.8175,4818.2318,5281.6173,,1.115707164641362,
2022-01-07,1128.6516,2.8175,4822.3689,5296.2818,,1.1176541071167923,
2022-01-10,1130.9009,2.8025,4844.0451,5347.8286,,1.1198814901135805,
2022-01-11,1137.4459,2.795,4797.7735,5371.9026,,1.1263627161456697,
2022-01-12,1143.7306,2.7925,4845.5787,5347.7161,,1.1325861785205933,
2022-01-13,1145.6151,2.79,4765.9191,5331.4973,,1.1344523161000388,
2022-01-14,1146.4495,2.7925,4726.7317,5235.9777,,1.1352785857717234,
2022-01-17,1156.8523,2.785,4767.2762,5251.1609,,1.1455800217024523,
2022-01-18,1147.2401,2.735,4813.3472,5303.1783,,1.136061482227181,
2022-01-19,1149.9643,2.73,4780.3784,5338.3387,,1.1387591378355262,
2022-01-20,1160.1846,2.7225,4823.5091,5318.1383,,1.1488798520319758,
2022-01-21,1190.3226,2.7025,4779.3142,5276.7259,,1.1787241897180127,
2022-01-24,1213.1345,2.67,4786.7377,5252.3922,,1.2013138123492457,
2022-01-25,1191.9009,2.6975,4678.4511,5070.7303,,1.1802871108863011,
2022-01-26,1192.6285,2.7125,4712.3109,5102.6572,,1.1810076212088294,
2022-01-27,1187.3079,2.7275,4619.8765,5033.8934,,1.1757388647189386,
2022-01-28,1206.8444,2.7,4563.772,5009.7414,,1.1950850025915,
2022-02-07,1243.1359,2.7225,4634.0899,5140.6036,,1.231022881054995,
2022-02-08,1287.6082,2.7225,4608.7729,5254.5345,,1.2750618464433665,
2022-02-09,1272.7566,2.73,4652.0609,5278.9268,,1.2603549592717578,
2022-02-10,1270.9269,2.77,4639.8625,5336.1947,,1.2585430877253996,
2022-02-11,1285.8394,2.7875,4601.3953,5325.3022,,1.2733102814921735,
2022-02-14,1305.2318,2.795,4551.6878,5242.9059,,1.2925137234638604,
2022-02-15,1300.879,2.795,4600.1025,5221.0933,,1.2882033368064914,
2022-02-16,1279.4008,2.785,4617.9893,5268.1763,,1.2669344187068088,
2022-02-17,1247.6447,2.78,4629.1649,5244.6059,,1.2354877476605697,
2022-02-18,1271.7772,2.8025,4651.2358,5345.1594,,1.2593851024687281,
2022-02-21,1267.5404,2.8475,4634.3141,5379.5403,,1.2551895855164354,
2022-02-22,1226.1029,2.8425,4574.1527,5334.1764,,1.2141558492743108,
2022-02-23,1213.4478,2.8025,4623.0465,5319.447,,1.2016240595785588,
2022-02-24,1184.6817,2.8,4529.3189,5216.4932,,1.1731382542062614,
2022-02-25,1189.7706,2.7825,4573.4247,5215.192,,1.1781775683628235,
2022-02-28,1176.3908,2.7875,4581.6459,5219.1452,,1.1649281400871703,
2022-03-01,1159.1615,2.8175,4619.6862,5263.5754,,1.147866721038327,
2022-03-02,1185.0837,2.8225,4578.6007,5298.648,,1.1735363371497143,
2022-03-03,1204.775,2.84,4551.6283,5355.0094,,1.1930357666631877,
2022-03-04,1198.2453,2.8275,4496.4301,5329.2221,,1.1865696915490953,
2022-03-07,1172.1157,2.8325,4352.7775,5271.5195,,1.1606946963270808,
2022-03-08,1151.6961,2.8375,4265.391,5090.0852,,1.1404740633118242,
2022-03-09,1155.3665,2.855,4226.3463,5024.8136,,1.1441086992214013,
2022-03-10,1160.213,2.855,4292.8374,5087.3541,,1.1489079753045979,
2022-03-11,1156.9563,2.79,4306.5217,5120.3066,,1.1456830083345895,
2022-03-14,1145.3659,2.77,4174.7577,5009.3136,,1.1342055442853411,
2022-03-15,1092.3031,2.825,3983.812,4699.8654,,1.0816597840568376,
2022-03-16,1105.614,2.805,4156.081,4811.543,,1.0948409836887,
2022-03-17,1116.344,2.8,4237.6956,4896.5771,,1.1054664314082294,
2022-03-18,1113.1571,2.8,4265.9017,5025.4993,,1.102310584312482,
2022-03-21,1136.338,2.8175,4258.7459,5046.455,,1.1252656114365862,
2022-03-22,1166.1229,2.8325,4255.295,5131.9307,,1.1547602897013962,
2022-03-23,1154.2875,2.8275,4276.5174,5145.7513,,1.1430402129129789,
2022-03-24,1150.0004,2.805,4251.3061,5128.4379,,1.1387948860799504,
2022-03-25,1141.2841,2.797,4174.5742,5124.2886,,1.1301635170251758,
2022-03-28,1133.08,2.79,4148.4663,5187.1653,,1.122039357133676,
2022-03-29,1135.4684,2.785,4134.1441,5177.7105,,1.1244044847509476,
2022-03-30,1137.2465,2.772,4254.0989,5244.3886,,1.1261652590836686,
2022-03-31,1132.5919,2.78,4222.5968,5303.2837,,1.1215560131418865,
2022-04-01,1153.7177,2.773,4276.158,5357.4278,,1.142475964999597,
2022-04-06,1155.5359,2.7565,4263.8411,5447.7716,,1.1442764486010555,
2022-04-07,1142.3812,2.74,4209.0998,5342.5239,,1.1312499269686143,
2022-04-08,1156.6652,2.755,4230.7669,5399.535,,1.1453947447902133,
2022-04-11,1150.1494,2.765,4100.0703,5280.0061,,1.1389424342356085,
2022-04-12,1158.2113,2.7675,4179.9727,5264.8159,,1.146925779712782,
2022-04-13,1161.0027,2.745,4139.737,5254.4667,,1.149689980529585,
2022-04-14,1160.4938,2.7575,4191.5684,5379.7854,,1.149186039211368,
2022-04-15,1157.2544,2.785,4188.7472,5347.8981,,1.1459782036715132,
2022-04-18,1158.7854,2.8075,4166.3844,5276.5601,,1.1474942857273005,
2022-04-19,1158.3179,2.82,4134.9017,5338.5267,,1.1470313410107227,
2022-04-20,1158.6502,2.8325,4070.7889,5182.9115,,1.1473604031055225,
2022-04-21,1145.7291,2.8225,3995.83,5062.8475,,1.1345652052929585,
2022-04-22,1140.9699,2.8425,4013.2498,5128.399,,1.1298523785653924,
2022-04-25,1119.2069,2.815,3814.9127,4859.1573,,1.1083014355346263,
2022-04-26,1120.1623,2.8275,3784.1198,4766.7064,,1.1092475261917782,
2022-04-27,1128.8713,2.8425,3895.5361,4820.5909,,1.117871666377182,
2022-04-28,1115.9106,2.8425,3921.1073,4883.1703,,1.1050372544239195,
2022-04-29,1122.5613,2.8375,4016.241,5019.2283,,1.1116231505234793,
2022-05-05,1115.7216,2.826,4010.2102,5052.006,,1.104850096025132,
2022-05-06,1114.203,2.83,3908.815,4921.834,,1.1033462931447147,
2022-05-09,1109.4344,2.815,3877.4364,4934.0392,,1.0986241580100131,
2022-05-10,1109.7332,2.8075,3919.8684,4930.6719,,1.0989200465261915,
2022-05-11,1118.2059,2.8225,3976.4231,4923.273,,1.1073101892003068,
2022-05-12,1124.4666,2.805,3958.74,4911.5352,,1.1135098854293524,
2022-05-13,1127.6411,2.815,3988.6002,5028.3112,,1.1166534533497294,
2022-05-16,1126.114,2.82,3956.5378,5078.7809,,1.1151412332926471,
2022-05-17,1124.3157,2.8125,4005.8934,5040.8226,,1.1133604557871457,
2022-05-18,1120.7269,2.8,3991.9069,5006.19,,1.1098066247735532,
2022-05-19,1112.3807,2.8075,3999.5984,5024.2502,,1.1015417494933355,
2022-05-20,1114.5368,2.8175,4077.5998,5070.655,,1.1036768406236317,
2022-05-23,1111.2849,2.795,4053.9823,5084.9867,,1.1004566268827989,
2022-05-24,1106.4432,2.794,3959.1541,4951.5297,,1.0956621040287775,
2022-05-25,1105.8809,2.76,3983.1784,5031.2878,,1.0951052830359826,
2022-05-26,1106.2916,2.74,3993.0446,5081.9916,,1.0955119812073164,
2022-05-27,1106.5258,2.7475,4001.2988,5074.4263,,1.0957438991808404,
2022-05-30,1102.5959,2.77,4029.0179,5072.0614,,1.09185229181896,
2022-05-31,1094.8424,2.7925,4091.5176,5070.5271,,1.0841743413163158,
2022-06-01,1088.5187,2.8,4083.1772,5093.2163,,1.0779122589543413,
2022-06-02,1090.7677,2.805,4089.5682,5054.2338,,1.080139344874306,
2022-06-06,1108.1419,2.818,4166.085,5073.1216,,1.0973442520288863,
2022-06-07,1123.6402,2.805,4179.1285,5087.4234,,1.1126915378062938,
2022-06-08,1117.766,2.8075,4219.8122,5125.1709,,1.1068745755514886,
2022-06-09,1122.3476,2.795,4175.6747,5100.7594,,1.111411532799559,
2022-06-10,1125.4876,2.7925,4238.9936,5134.1267,,1.1145209368852367,
2022-06-13,1121.6578,2.766,4189.3527,5071.6427,,1.1107284541567881,
2022-06-14,1124.7241,2.77,4222.3114,5143.2939,,1.1137648763694994,
2022-06-15,1126.0768,2.78,4278.2178,5137.3642,,1.1151043957665365,
2022-06-16,1124.4962,2.775,4250.0614,5058.3695,,1.1135391970092683,
2022-06-17,1121.0687,2.775,4309.0444,5056.8537,,1.1101450943010962,
2022-06-20,1111.3466,2.7825,4330.4328,5035.0745,,1.1005177256828262,
2022-06-21,1110.1394,2.7825,4325.5657,5037.4703,,1.0993222885451732,
2022-06-22,1109.9495,2.7775,4270.6227,4970.5763,,1.099134238915915,
2022-06-23,1115.8075,2.78,4343.8781,5039.9466,,1.1049351590222527,
2022-06-24,1132.2336,2.8,4394.7723,5033.9618,,1.1212012043890527,
2022-06-27,1139.0472,2.825,4444.2639,5079.5629,,1.1279484132037576,
2022-06-28,1144.2605,2.84,4490.5166,5125.1371,,1.1331109152164534,
2022-06-29,1141.3802,2.83,4421.357,5091.243,,1.1302586806342947,
2022-06-30,1147.4339,2.815,4485.0108,5106.4698,,1.1362533938551442,
2022-07-01,1147.5721,2.825,4466.7179,5125.9429,,1.1363902472451572,
2022-07-04,1151.0525,2.8475,4496.0303,5143.8105,,1.1398367344998683,
2022-07-05,1145.8401,2.83,4489.5383,5151.2179,,1.1346751237176431,
2022-07-06,1144.1768,2.835,4423.9698,5050.6118,,1.1330280307827043,
2022-07-07,1143.3552,2.8375,4443.4736,5081.066,,1.1322144363888214,
2022-07-08,1147.6416,2.8375,4428.781,5070.861,,1.136459070042595,
2022-07-11,1145.3651,2.8175,4354.6167,4997.901,,1.1342047520804786,
2022-07-12,1149.2759,2.8075,4313.6184,4997.9361,,1.1380774455512648,
2022-07-13,1146.8508,2.805,4321.4617,5004.2743,,1.1356759755359216,
2022-07-14,1152.4566,2.7875,4322.0742,4937.89,,1.1412271530593268,
2022-07-15,1154.4194,2.785,4248.5273,4813.9362,,1.143170827689699,
2022-07-18,1159.6697,2.7805,4292.5858,4932.1107,,1.1483699691772893,
2022-07-19,1163.3853,2.7855,4269.3401,4951.3882,,1.1520493646616028,
2022-07-20,1166.5213,2.7675,4283.8027,4968.2179,,1.1551548077229676,
2022-07-21,1165.6616,2.764,4236.0578,4896.2076,,1.1543034845725035,
2022-07-22,1167.0468,2.7825,4238.2341,4874.2956,,1.1556751872920834,
2022-07-25,1161.0217,2.778,4212.6441,4869.8414,,1.1497087953950715,
2022-07-26,1157.4433,2.77,4245.9758,4938.786,,1.1461652630446928,
2022-07-27,1155.1467,2.7675,4225.0357,4943.2277,,1.143891040935404,
2022-07-28,1159.8315,2.765,4225.6733,4962.8899,,1.1485301926107487,
2022-07-29,1163.8996,2.755,4170.1019,4921.7183,,1.1525586533626422,
2022-08-01,1166.6163,2.7295,4188.6784,4937.8859,,1.1552488820504003,
2022-08-02,1164.2208,2.7275,4107.024,4798.7797,,1.1528767236149735,
2022-08-03,1165.0291,2.7175,4066.9754,4736.1082,,1.1536771476030159,
2022-08-04,1169.8513,2.719,4101.5367,4762.2823,,1.1584523604635113,
2022-08-05,1168.024,2.735,4156.9111,4797.1442,,1.1566428655317407,
2022-08-08,1165.7749,2.7375,4148.0746,4873.2309,,1.154415680586168,
2022-08-09,1160.2659,2.7375,4156.2907,4883.649,,1.1489603598511369,
2022-08-10,1161.4186,2.734,4109.7373,4862.6151,,1.1501018280325255,
2022-08-11,1160.421,2.7275,4193.5428,4923.7214,,1.1491139485688722,
2022-08-12,1163.1435,2.7275,4191.152,4957.3534,,1.151809920741884,
2022-08-15,1168.3518,2.65,4185.6794,4969.8452,,1.1569674714741882,
2022-08-16,1173.7473,2.6325,4177.837,4996.1046,,1.1623103981443395,
2022-08-17,1174.4672,2.6225,4216.9586,5012.0491,,1.1630232834950653,
2022-08-18,1179.0895,2.61,4180.0996,4969.3372,,1.1676005441655202,
2022-08-19,1195.6877,2.625,4151.0738,5006.9979,,1.1840370126033852,
2022-08-22,1190.982,2.6275,4181.3965,5050.9213,,1.179377164576005,
2022-08-23,1193.0286,2.635,4161.0823,5075.6273,,1.1814038226657337,
2022-08-24,1185.7733,2.635,4082.4195,4984.4626,,1.1742192177412696,
2022-08-25,1191.2063,2.66,4116.2396,5073.6245,,1.1795992790143546,
2022-08-26,1188.4176,2.6625,4107.5455,5051.2158,,1.176837751888963,
2022-08-29,1182.777,2.6325,4089.5205,5090.8457,,1.171252113454035,
2022-08-30,1186.7323,2.6325,4075.7937,5060.863,,1.1751688733203027,
2022-08-31,1191.7403,2.64,4078.8402,5009.623,,1.1801280757601353,
2022-09-01,1187.6835,2.6225,4043.7395,5043.0279,,1.1761108049019262,
